"","comicName","comicSummary","comicGrade"
"159","사랑하는 계절","자유연재","9.75"
"160","보이지 않는 사람","보이지 않는 사랑","9.08"
"161","하루만 네가 되고 싶어","로맨스판타지","9.90"
"162","너는 나의 나는 너의 수호천사","개그로맨스판타지","9.82"
"163","찌질이의 아프리카 라이프","아프리카 취업이야기","9.94"
"164","우주n은하","우주에서 온 소녀들","9.87"
"165","좋운날","좋운날 보내셨나요?","9.93"
"166","연애노트","솔로탈출연애프로젝트","8.91"
"167","수화 배우는 만화","수어배우는사람","9.89"
"168","긴생머리","과거와 갈등..연애","9.50"
"169","나의 영원한","덕메이트가 생기다","9.68"
"170","마이데이","순정,학업로맨스","9.69"
"171","나비를 찾아서","우리는 마녀다!","9.90"
"172","발버둥치다","우울증 이야기","9.91"
"173","로그 아일","판타지 생존기","9.78"
"174","[세계여행이야기]World Travel Diary","세계여행이야기","9.89"
"175","기계인(機械人)","인간과 AI의 전쟁","9.67"
"176","봉산코믹스","비극과희극 단편선","9.80"
"177","사쟈툰","사쟈를 그립니다.","8.81"
"178","자각몽","자각몽을 꾸는 소녀","9.88"
"179","빨간 물고기","엄마에 대한 애증","9.84"
"180","원인탐구생활: 아리보리","육묘일기","9.90"
"181","마물전담부대","마물을 사냥하는부대","9.91"
"182","구나의 그랬구나","어린이집 교사냥이","9.93"
"183","스쿨워터","학교물","9.72"
"184","꽃밭에서","잊어버린 것","9.92"
"185","설레이는 나날","고양이 반려일상!","9.90"
"186","왕후의 제국","고구려의 우씨 왕후","9.79"
"187","엘레노이 아타락시아","판타지로맨스드라마","9.90"
"188","도화","동양 액션 판타지.","9.88"
"189","싸카소녀","소녀들의 스뽀오츠!","9.88"
"190","사업왕 심길후","사업왕 심길후","9.62"
"191","브레인 스톰","기억들의 배틀로얄","9.93"
"192","알콜일기","취할것같은 이야기!","9.87"
"193","사소한 일로 계약","사소한 걸로 계약함","9.53"
"194","아버지 이야기","아버지가 들려주는","9.85"
"195","프리즘","무의식의 색","9.92"
"196","나를 찾아줘","의사와 의대생","9.44"
"197","신의 마녀","자칭마녀와신비한소년","9.91"
"198","심연","비윤리적인 실험","9.78"
"199","러비스LUVIS","넌 너대로 빛나!","9.80"
"200","파도를 삼킨 어항","달빛섬의 비밀","9.74"
"201","DJ 카일하우스","DJ아빠와 중2아들","9.83"
"202","특이점 2045","A.I.로봇VS인간","9.91"
"203","숲의 향연","으로 초대합니다.","9.84"
"204","윤이나는남자","여자같은 남자","9.52"
"205","사도 신여랑傳","초 자유연재 입니다","9.59"
"206","마음의 온도","마음의 온도","9.88"
"207","이상한 봄","퀴어한 관계 이야기","9.59"
"208","픽셔너","그들의 이상한 일상","9.72"
"209","빈센트","21세기 한국판타지","9.77"
"210","그래도 하루는","희노애락 투병일기","9.93"
"211","아파지는 중입니다","청춘남녀 성장로맨스","9.75"
"212","자체공강","대학물인척하는 만화","9.91"
"213","바보요정 웽","바보요정Wooeng","9.89"
"214","백일몽화원","7,17,27일연재","9.72"
"215","CAFE_쉬어가게","누구나 쉬어가는 곳","9.90"
"216","이상한 낙원의 넬리쉬","이세계? 이상세계!","9.72"
"217","복학생 정순이","22살 복학생","9.89"
"218","시험 합격자","부자들의 학교","9.03"
"219","1인 크리에이터","유X버 & bXj","8.99"
"220","개시","광해군과 김개시의政","9.89"
"221","솔로의 연애","연애할 수 있을까~","9.93"
"222","신속한 세계","판타지 모험 만화","9.24"
"223","능력안경","안경장르 만화","9.90"
"224","파차마마의 마법","위험천만 남미여행기","9.88"
"225","원더키퍼","너를 지키는","9.93"
"226","크림슨 크로스","희망의 가치.","9.74"
"227","육식 토끼","평범 콤플렉스 토끼","9.89"
"228","현세이의 보이는 라디오","현세이입니다!","9.91"
"229","도깨비불","요괴액션판타지","9.68"
"230","전지적덕후시점","나의 덕질 라이프","9.61"
"231","개판오분전","방과후고교생활이야기","9.77"
"232","해동요","동양 판타지 서사극","9.34"
"233","순진한 로웰씨","회사로망 일상툰★","9.86"
"234","그림자게임","시즌2 시작합니다.","9.88"
"235","지금은 여관주인!!","판타지속 여관이야기","9.92"
"236","너나들이","20대남녀연애이야기","9.89"
"237","IDOL","전지적 연습생 시점","9.60"
"238","일타쌍피 -백-","쌍둥이 일기","9.85"
"239","일타쌍피 -흑-","쌍둥이 일기","9.79"
"240","언니","언니만화(완결)","9.89"
"241","그를 좋아한다","그는 누구일까","9.71"
"242","3구역 숲","코아의 특별함","9.49"
"243","우주의 수호천사","우주의 수호천사!","9.88"
"244","멜팅 포인트","","9.78"
"245","등교하는 근식이","목숨을 건 개근일기","9.89"
"246","슬픔을 먹는 남자","성장물,감성,판타지","9.92"
"247","미용사 : LOST HERO","전직용사현직미용사!","9.72"
"248","어느 남고생의 하루","말하는강아지와의일상","9.89"
"249","소녀가 여행하는 법 2 베트남 프렌즈 여행기","여행장려웹툰","9.86"
"250","당신의 한 순간","#심리#영혼#힐링","9.78"
"251","달콤한 비밀 연애","사내연애 후  일상","9.67"
"252","루이와 졸개들 R","나만알고싶은 양아치","9.79"
"253","시크릿가족","성교육웹툰!!","9.88"
"254","그날, 우리들의 여름.","격주 연재합니다.","9.85"
"255","네가 꿈꾸는 동안에","꿈으로 드러난 범죄","9.92"
"256","다시 돌아온","다시 돌아온","9.74"
"257","헌트","어디에 있는가","9.64"
"258","리프로듀싱","내가 여자 아이돌?","9.60"
"259","오! 덕후를 위하여","덕심충만, 취향존중!","9.89"
"260","나는 부활 마법을 가졌다","부활판타지","9.86"
"261","Twins Love Story (트윈스 러브 스토리)","쌍둥이의 사랑이야기","9.87"
"262","인더하우스","동거 로맨스","9.84"
"263","만가","란의 성장 판타지.","9.48"
"264","마법약사","포션장사하는 이야기","9.95"
"265","멋도모르는여자","일상부부툰","9.83"
"266","뚜바비앙","뚜바비앙","9.90"
"267","감각의 어빌러티","감각능력으로싸운다!","9.87"
"268","3번째 도막","개그 일상 이야기","9.88"
"269","소금물 방","오피스 블록버스터","9.86"
"270","정글짐 위에 올라","우리의 초딩 시절","9.91"
"271","불편해요, 선배님!","캠퍼스 로맨스","9.93"
"272","천상대전","천상대전","9.87"
"273","횡설수설 다이어리","40대 가장의 일상","9.33"
"274","테이커","17살의 킬러","9.84"
"275","나의 수상한 행성","소년 소녀와 소년","9.88"
"276","신비한 마녀 도감","유니콘덕후마녀의비밀","9.93"
"277","타챠노트","프리랜서일기","9.77"
"278","솔체","이루지못한시작의일기","9.61"
"279","행복을 찾다.","소녀의 행복은 현재 진행형?","9.86"
"280","빨간 고백","다시 돌아온 너에게","9.79"
"281","똥두","사춘기 소녀의 일상","9.70"
"282","불만있어?","실화119 웹툰","9.89"
"283","생기발랄 다이어리","대안학교 이야기","9.54"
"284","조금 수상한 연애시뮬레이션","빛나라☆진심의♥하트","9.84"
"285","안단테","트라우마극복로맨스","9.77"
"286","미세만화 주의보","저 세상 단편","9.67"
"287","봄이와","결혼도 처음 육아도 처음 초보부부의 육아분투기","9.63"
"288","오늘을 담다.","도시락 일상이야기","9.93"
"289","문지기","사라진 문지기","9.92"
"290","게으른 고양이의 soso한 카페이야기","카페운영일상툰","9.85"
"291","아틀레냐 (구)","구판","9.87"
"292","정령왕즈","정령왕들이 조잘조잘","9.87"
"293","오늘의 후기","매일 살아가는 후기","9.79"
"294","피노키오의 소녀","수상한 마을의 비밀","9.72"
"295","폭렬!! 극강초맹반","무협풍개그슈트액션","9.72"
"296","드림캡슐(Dream Capsule)","자유연재","9.89"
"297","그녀의 거리","그와 그녀의 거리","9.91"
"298","아이고아이고","삶과 죽음의 이야기","8.83"
"299","너의 여집합","네가 없는 세상","9.82"
"300","이상낙원","마법 학원 판타지","9.85"
"301","바닷속의 춘향","물고기도 사람인데","9.84"
"302","윈터하츠","연금술사들의 이야기","9.90"
"303","20&21세기남매","9살차남매일상툰!","9.57"
"304","오늘도 분홍했분홍","일상힐링툰","9.85"
"305","기행 공포단편집","공포만화 단편선","9.92"
"306","시간이 머문 집","수수께끼 판타지","9.94"
"307","애정이 필요해","불안장애 극복기","9.83"
"308","맛있는 남자","그 남자는 맛이난다","9.93"
"309","별정직 통신사","저승과 이승 외교부","9.71"
"310","세모와 동그라미","나보다외로운사람에게","9.86"
"311","왕과 그림자와 여자","자유연재입니다^^","9.79"
"312","BeYonD","꿈 여행기","9.83"
"313","엑소니클","퇴마사 소년만화","9.65"
"314","동글앤토실","18년 묵은 커플","9.88"
"315","50m","오십미터","9.54"
"316","몽글이","멍멍이가 학교가","9.74"
"317","오늘도 사랑하세요","인싸 큐피드 되기!","9.90"
"318","달란트","장애인의 초능력..","9.90"
"319","월국(月國)의 프락세이스","소년과 세계,스피릿","9.69"
"320","옆집에 그녀가 산다","옆집의 특별한그녀!","9.67"
"321","라면순대","30대의 웃긴 일상","9.73"
"322","스파이키 리스키","싱가폴 생활기","9.88"
"323","중독연구소","우리의 중독 이야기","9.58"
"324","PI(파이)","주라의 신화 이야기","9.75"
"325","하나(하루)","하나를 만났다.","9.74"
"326","스푸키 멜로디","악몽 동화 이야기","9.88"
"327","주작작 주주작","영짐승 배틀물","9.62"
"328","양지리정신병원","정신병원에 갇히다","9.29"
"329","여긴 어디","칭다오 일상툰","9.93"
"330","아틀레냐 비바체","중단","9.86"
"331","도원향","우주경찰서 도원향","9.89"
"332","매일 집밥 한그릇","셀프요리툰","9.89"
"333","나의 작은 여우별","소원의 여우별","9.93"
"334","그녀의 버킷리스트","죽기위해 이뤄가는","9.87"
"335","로어스쿨","액션 소년만화","9.89"
"336","나눠먹는 로맨스","음식&로맨스","9.72"
"337","혼자앤피스","인생은 혼자","9.79"
"338","함께 할 때까지","바카랑호두랑도마뱀","9.63"
"339","비김 어게인 IN한국 [캐나다에도 산다 시즌 2]","여여커플 일상툰","9.74"
"340","무지개다리 파수꾼","동물의 말이 들린다","9.74"
"341","다르디움","기계와 마법의 세계","9.87"
"342","안녕 외교국","SF 감성 판타지","9.54"
"343","마법사와 왕자님","로맨스 판타지","9.86"
"344","이웃집 기린씨!","개그힐링만화","9.91"
"345","SSAW","네 개의 계절","9.72"
"346","꼬맹이를 부탁해!","꼬맹이와의 일상!","9.92"
"347","사막화花","본격 식물 판타지","9.69"
"348","일요극장","아마도 일상 판타지","9.76"
"349","수상한 가족협정","우리가 누구게?","9.90"
"350","투마로홈","매일 다른곳?","9.18"
"351","부부사기단 늬우스","수요일 연재","9.82"
"352","요조신사 마초숙녀","힐링로맨스목요일연재","9.75"
"353","밀웜","밀웜같은 아이","9.59"
"354","씨름","씨름 뒤집기 한판!","9.01"
"355","앨리스를 위하여","새로운앨리스이야기","9.87"
"356","같이 꽃길 걸을까요?","군화곰신커플 일상툰","9.68"
"357","드래곤메이커","용키우는만화","9.90"
"358","인비트윈","판타지액션,자유연재","9.51"
"359","벽(로그아웃)","미스터리 SF 단편","9.82"
"360","숙천","단 한 번뿐인 생.","9.75"
"361","오묘한 가족","오묘한가족의 이야기","9.89"
"362","뼈의 시간","병원 미스테리호러","9.78"
"363","철수이야기","함께여서 난 좋았어","9.91"
"364","시나브로 너에게","환상세계가 펼쳐진다","9.66"
"365","비행소년","나의 첫 친구들","9.91"
"366","소울","코믹액션 더하기 환타지","8.95"
"367","Hello Death! [헬로데스]","세상엔신들이너무많아","9.84"
"368","꿈무덤","꿈 속의 이야기","9.84"
"369","날개의 기억","학원 로맨스 드라마","9.80"
"370","개남","한명쯤 키우고 싶은","9.92"
"371","흔하지 않은 로맨스 유형","청춘남녀 4컷만화","9.91"
"372","티레시아스","판타지 순정만화","9.86"
"373","고냥고냥","취준생 고냥이","9.91"
"374","빌리다이어트","개고생 다이어트","9.82"
"375","눈깔 소녀","어느날 갑자기","9.87"
"376","니하오복고","요리하는고양이 복고","9.89"
"377","여왕의 계절","시대극 판타지 웹툰","9.87"
"378","스윗칵테일","Self Made","9.38"
"379","재미개발","IT개발자들 이야기","9.80"
"380","백수세끼","백수의 삼시세끼","9.54"
"381","나비 이야기","식물이 무서워","9.90"
"382","개구리공주","학원판타지","9.89"
"383","파도의 색깔","판타지 성장 만화","9.90"
"384","윤덩까툰 시즌2","영국_일상_로맨스","9.71"
"385","DOOR","귀여운 다크판타지","9.86"
"386","에리스","남을 속여야 이긴다","9.37"
"387","용사·마왕·우주인","낙제 용사 이야기","9.90"
"388","결혼 교과 시간","학교에서배우는결혼","9.82"
"389","반연(絆緣)","토요일 저녁에만나요","9.90"
"390","회사원 채대리","회사원 만화","9.84"
"391","어글리 피플즈","못생긴남자의 이야기","8.88"
"392","나주금입니다(너에게만 보이는)","유령의 상냥한 위로","9.88"
"393","ㅎㅋ고모리","은둔형 외톨이인 모리의 성장일기","9.30"
"394","빅건맨","능력자 살인마","9.65"
"395","Jun과 나","실화에서 시작된 예대속 색있는 사람들의 색있는 이야기.","9.89"
"396","림딩동","캠퍼스 농구만화","9.74"
"397","츤데레","남정네 넷의 츤츤","9.87"
"398","뿌리네 이야기","매일 가족 명랑 만화","9.77"
"399","스타체이서","친구에게","9.87"
"400","사람사이","청춘들의 현실로맨스","9.55"
"401","누나 한입만화","4컷 일상 먹툰","9.90"
"402","공대생툰","공대생의 일상","9.78"
"403","환상여행","단편 모음집","9.90"
"404","용애어부가","용과 어부 사랑노래","9.93"
"405","디 언더사이즈드(THE UNDERSIZED)","고등학교농구부이야기","9.53"
"406","애쉬그레이","판타지","9.90"
"407","루텔","력家네","9.90"
"408","뫼비우스의 소설","오각관계 드라마","9.78"
"409","숲","사연을 그리는 만화","9.93"
"410","내 열정은 최고조!","한남자의 청춘속 열정적인 일상 에피소드","9.57"
"411","마이툰","두딸키우는 아재일상","9.67"
"412","사인검","액션활극 동양판타지","9.84"
"413","내 매력에 퐁당","내 매력에 퐁당!","9.68"
"414","우당탕탕 학교가자!","본격! 여고생툰","9.75"
"415","텃밭부 사건일지","명랑쾌활 살인추리극","9.87"
"416","헬로사이공","따뜻한 이야기들","9.88"
"417","뱀파이어클럽의 혈투","뱀파이어클럽의 혈투","8.82"
"418","날것","해묵은 그림 일기장","8.41"
"419","에밀리 이야기","어딘지 학교가 익숙하지 않은 에밀리의 학교적응 이야기","9.78"
"420","괜찮아, 고3이야","너와나의 리얼고3툰","9.91"
"421","불러줘 내 이름만","캠퍼스 로맨스","9.88"
"422","탑코너","고교 축구드라마","8.82"
"423","술타는청춘","청춘들의 개그 일상","9.70"
"424","갓도령스","꽃도령아이돌 로맨스","9.89"
"425","캐세랑세라","디스 이즈 러브!","9.92"
"426","식빵고양이 파운드캣","식빵을 닮은 고양이","9.92"
"427","후덜덜덜 남극전자","즐거운 회사생활","9.84"
"428","주근깨 가쵸","의도치 않은 모험","9.72"
"429","웃지않는 여자","뒤엉킨 과거","9.80"
"430","B와 당신","흡혈귀 여자친구","9.62"
"431","우리 집에 최애캐!","최애캐와 동거하자!","9.76"
"432","이과지옥","이과 발암만화","9.78"
"433","베이퍼 정키스","퓨처 느와르","9.31"
"434","상실의 계절","소프트 BL","9.72"
"435","라스오브이블","2차 세계대전 SF","9.57"
"436","압락사스","살인자 vs 사이비","9.69"
"437","도도도","도도의 이야기","9.81"
"438","살문 (殺門)","살인과 관상","9.68"
"439","우리에게 내일은","SF판타지 액션활극","9.54"
"440","빌린 몸","두근두근 순정만화","9.83"
"441","신선비","한 뱀신랑의 이야기","9.89"
"442","달무리의 밤","고려시대 사랑이야기","9.78"
"443","왕립 루브리카 종합학원","판타지학원물","9.91"
"444","울트라 바이올렛","공대생vs뱀파이어","9.83"
"445","광고감독의 발암일기","광고감독의 웃픈일상","9.73"
"446","숲속의 성","허기, 혹은 사랑","9.86"
"447","페카텀","신과 사제의 이야기","9.76"
"448","마녀가 잠든 사이에","마녀와 잔혹동화","9.86"
"449","비차의 캘리툰, 첫 단추","스무살, 첫 단추.","9.86"
"450","하필 너야?!","그녀와 그 고양이","9.76"
"451","노바","코지 미스테리 로판","9.89"
"452","은하!","정 식 연 재","9.88"
"453","전지적귀신시점","귀신만화.","9.89"
"454","플래닛자이언","월드와이드 SF극화","9.39"
"455","그래도 같이살자","고양이 일상툰","9.88"
"456","십장르","너 장르가 뭐야?","8.36"
"457","슬기는 슬기를 싫어해!","두소녀의 성장드라마","9.53"
"458","오늘은 꼭 고백할 거야!","두 남자의 고백공략","9.92"
"459","사귀자","웹툰작가와 귀신 팬","9.87"
"460","아더의왕국","왕국의 주인은?","9.89"
"461","(구) 여우야 여우야","여우와 친구들","9.76"
"462","1인칭 외국인 시점","프랑스 관찰일기","9.89"
"463","컬러풀 아이덴티티","패션디자인 학원물","9.64"
"464","젤리빈 하우스","신비의 보석 젤리빈,그리고 한 명의 마법사.","9.81"
"465","투애니스(20's)","레스토랑 드라마","9.53"
"466","잉여특공대","고딩-슈퍼히어로맨스","9.91"
"467","슈퍼캣","거대고양이 등장!!","9.61"
"468","킬링타임","과거를 죽여라","9.83"
"469","과한가족","조금 과한 그들","9.92"
"470","성장통 소나타","예체능 로맨스","9.89"
"471","라라의 조그만 작업실","미니어쳐만드는만화","9.79"
"472","모브","2097년 드라마","9.87"
"473","이오타","케이 아이가 만났다","9.24"
"474","너에게나를던진다","아재&고딩의 성장기","9.53"
"475","초인의시대","지구를 지키는 초인","9.61"
"476","악마의 레시피","악마와계약한파티시에","9.67"
"477","대작으로 가는 길","사신소년","9.87"
"478","물레","대학 공감청춘 만화","9.50"
"479","이웃집 유부녀","유부녀의 일상 기록","9.90"
"480","오늘의하루","친구들이야기","9.88"
"481","개인적인택시","음악이 흐르는 택시","9.93"
"482","먼데이블루스","프리랜서와 직장인.","8.76"
"483","카이코","국제 연애 로맨스","9.93"
"484","결혼 후, 보통의 삶","묘한 중독 짱매의 매일매일","9.91"
"485","지금만큼은","시공간초월로맨스","9.92"
"486","아싸가 알아버렸다","아싸탈출 도전기","9.48"
"487","판타지 여동생!","게임판타지","9.50"
"488","스물 다섯, 어디로 가야 하죠?","이젠 심지어 스물 여섯","9.87"
"489","오무라이스 프로젝트","다함께 오무라이스!","9.83"
"490","코스믹 코믹스","우주 만화","9.89"
"491","시선스틸러","관심받고싶은이야기","9.63"
"492","in",".","9.23"
"493","엑스텐","매주 토요일 연재","9.86"
"494","미르신화전기","인류의 파멸을 막아라","9.86"
"495","해바라기 하나","헤어디자이너 해꽃님","9.87"
"496","남동생과 누나","남매 일상","9.84"
"497","미스터 신데렐라","신데렐라가 남자라면","9.89"
"498","그 세계의 공주님","모험판타지","9.87"
"499","Bugs","이 곳은 모든 것이 빛으로 이뤄진 공간","9.66"
"500","OO마트에 놀러오세요.","마트 직원 하나씨","9.79"
